予約番号,予約人数,予約件数,予約宴会名称,会場枝番,会場名称,会場使用日,宴会開始時間,宴会終了時間,行灯名称,会場予約人数,営業担当名称,予約状態ｺｰﾄﾞ,予約状態名称,会場ｺｰﾄﾞ,会場使用目的ｺｰﾄﾞ,会場使用目的名称,会場形式ｺｰﾄﾞ,会場形式名称,ｴｰｼﾞｪﾝﾄｺｰﾄﾞ,エージェン 名称,申込会社 名称,ｴｰｼﾞｪﾝﾄ名称,予約状態備考
"35000","50","1","ユースリーダー研修会","1","紬(２)","2025/04/19","13:00","17:00","ユースリーダー研修会","50","近藤　和記","5","ｷｬﾝｾﾙ","310","27","研修会","3","スクール形式","2999","スイトトラベル株式会社","","その他AGT",""
"35007","20","1","天台宗東海教区布教師会","1","葵","2025/04/15","13:00","17:00","天台宗東海教区布教師会 総会研修会","20","渡瀬　太郎","1","決定予約","360","15","会議","3","スクール形式"," "," ","天台宗東海教区布教師会","",""
"35007","20","1","天台宗東海教区布教師会","2","伏見","2025/04/15","13:30","15:30","天台宗東海教区布教師会 講師控室","2","渡瀬　太郎","1","決定予約","370","9","控室","8","グループ(島)"," "," ","天台宗東海教区布教師会","",""
"35007","20","1","天台宗東海教区布教師会","3","竹","2025/04/15","17:00","19:00","天台宗東海教区布教師会 懇親会","20","渡瀬　太郎","1","決定予約","210","30","懇親会","72","丸卓"," "," ","天台宗東海教区布教師会","",""
"35008","20","1","名古屋市危険物安全協会連合会","2","楓","2025/05/15","20:00","21:00","名古屋市危険物安全協会連合会","20","渡瀬　太郎","1","決定予約","340","13","昼食","20","入れ込み"," ","","名古屋市消防局規制課","","12：00～割子弁当入れ込みあり"
"35008","20","1","名古屋市危険物安全協会連合会","1","楓","2025/05/15","09:00","13:00","名古屋市危険物安全協会連合会","20","渡瀬　太郎","1","決定予約","340","15","会議","5","ロの字"," ","","名古屋市消防局規制課","","12：00～割子弁当入れ込みあり"
"35040","0","0","名古屋クラウンホテル「三蔵」内覧会","3","三蔵A","2025/05/12","09:00","15:00","名古屋クラウンホテル「三蔵」内覧会","0","伊藤　良行","3","営業押え","495"," ",""," ",""," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35040","0","0","名古屋クラウンホテル「三蔵」内覧会","2","錦","2025/05/12","10:00","15:00","名古屋クラウンホテル「三蔵」内覧会 受付","170","伊藤　良行","3","営業押え","250","15","会議","1","フラット"," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35040","0","0","名古屋クラウンホテル「三蔵」内覧会","1","新　三蔵","2025/05/12","11:00","14:00","名古屋クラウンホテル「三蔵」内覧会","170","伊藤　良行","3","営業押え","115","99","その他","99","未定"," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35041","0","0","名古屋クラウンホテル「三蔵」内覧会","3","三蔵A","2025/05/21","09:00","15:00","名古屋クラウンホテル「三蔵」内覧会","0","伊藤　良行","3","営業押え","495"," ",""," ",""," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35041","0","0","名古屋クラウンホテル「三蔵」内覧会","2","錦","2025/05/21","10:00","15:00","名古屋クラウンホテル「三蔵」内覧会 受付","170","伊藤　良行","3","営業押え","250","15","会議","1","フラット"," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35041","0","0","名古屋クラウンホテル「三蔵」内覧会","1","新　三蔵","2025/05/21","11:00","14:00","名古屋クラウンホテル「三蔵」内覧会","170","伊藤　良行","3","営業押え","115","99","その他","99","未定"," "," ","名古屋クラウンホテル「三蔵」内覧会","",""
"35049","70","1","青経塾","1","鶴(１)","2025/04/25","17:00","19:00","青経塾","70","渡瀬　太郎","5","ｷｬﾝｾﾙ","270","15","会議","3","スクール形式"," "," ","青経塾","",""
"35049","70","1","青経塾","2","鶴(２)","2025/04/25","19:00","21:00","青経塾","70","渡瀬　太郎","5","ｷｬﾝｾﾙ","280","30","懇親会","72","丸卓"," "," ","青経塾","",""
